Date_UT,RA_app,DEC_app,Helio_Ecl_Lon,Helio_Ecl_Lat,r,rdot,delta,deldot,VmagSn,VmagOb,S-O-T,S-O-T_flag,TDB-UT,Sky_motion,Sky_mot_PA,RelVel_ANG
1977-Sep-06 00:00,22 54 28.37,+07 15 24.4,343.7446,0.0096,1.008201111484,0.4369574,1.00820111148425,0.4369574,39.8623431,39.8623428,0.0000,/*,0.0076,48.182573,3.2706986,88.692472
1977-Oct-06 00:00,01 21 42.70,+06 35 36.9,20.2776,0.6249,1.112362641999,10.8502313,1.11236264199890,10.8502313,37.6397585,37.6397582,0.0000,/*,0.0069,48.182373,2.6804835,93.302194
1977-Nov-05 00:00,03 09 00.89,+04 23 58.7,47.0669,0.9302,1.351775577053,15.9563624,1.35177557705294,15.9563624,33.6782814,33.6782812,0.0000,/*,0.0057,48.182601,1.8150735,95.919848
1977-Dec-05 00:00,04 20 29.40,+02 21 57.5,65.0213,1.0254,1.644867006963,17.5008919,1.64486700696343,17.5008919,30.0062300,30.0062300,0.0000,/*,0.0047,48.183204,1.2258781,96.983048
1978-Jan-04 00:00,05 09 45.59,+00 48 51.8,77.4330,1.0331,1.949948897381,17.5754325,1.94994889738081,17.5754325,27.0489835,27.0489835,0.0000,/*,0.0039,49.184026,0.8723092,97.326294
1978-Feb-03 00:00,05 45 42.62,-00 20 47.3,86.4965,1.0080,2.250855630838,17.1104114,2.25085563083794,17.1104114,24.6992980,24.6992980,0.0000,/*,0.0034,49.184842,0.6546828,97.363188
1978-Mar-05 00:00,06 13 17.45,-01 13 57.6,93.4485,0.9717,2.541830340373,16.4639610,2.54183034037256,16.4639610,22.8008120,22.8008120,0.0000,/*,0.0030,49.185429,0.5133845,97.268228
1978-Apr-04 00:00,06 35 18.59,-01 55 39.4,98.9955,0.9324,2.821115873377,15.7747567,2.82111587337747,15.7747567,21.2329494,21.2329493,0.0000,/*,0.0027,49.185636,0.4167740,97.116596
1978-May-04 00:00,06 53 26.77,-02 29 11.7,103.5609,0.8935,3.088516445763,15.0973080,3.08851644576296,15.0973080,19.9113214,19.9113212,0.0000,/*,0.0025,49.185418,0.3477301,96.942318
1978-Jun-03 00:00,07 08 45.43,-02 56 46.3,107.4122,0.8562,3.344444811825,14.4522979,3.34444481182461,14.4522979,18.7773113,18.7773110,0.0000,/*,0.0023,49.184840,0.2965400,96.761470
1978-Jul-03 00:00,07 21 56.50,-03 19 52.5,110.7259,0.8210,3.589532937307,13.8463611,3.58953293730735,13.8463611,17.7895678,17.7895675,0.0000,/*,0.0021,49.184054,0.2574116,96.581862
1978-Aug-02 00:00,07 33 28.75,-03 39 32.7,113.6237,0.7879,3.824470188038,13.2803471,3.82447018803768,13.2803471,16.9184087,16.9184084,0.0000,/*,0.0020,49.183256,0.2267301,96.407273
1978-Sep-01 00:00,07 43 42.66,-03 56 31.0,116.1917,0.7568,4.049937291846,12.7527986,4.04993729184616,12.7527986,16.1420624,16.1420622,0.0000,/*,0.0019,49.182645,0.2021462,96.239544
1978-Oct-01 00:00,07 52 53.17,-04 11 20.1,118.4930,0.7275,4.266583626579,12.2617887,4.26658362657919,12.2617887,15.4443462,15.4443460,0.0000,/*,0.0018,49.182380,0.1820735,96.079681
1978-Oct-31 00:00,08 01 11.47,-04 24 24.1,120.5748,0.6999,4.475030994987,11.8062718,4.47503099498681,11.8062718,14.8134817,14.8134814,0.0000,/*,0.0017,49.182537,0.1654013,95.928453
1978-Nov-30 00:00,08 08 46.01,-04 36 01.4,122.4727,0.6737,4.675901639829,11.3877871,4.67590163982950,11.3877871,14.2417124,14.2417119,0.0000,/*,0.0016,49.183084,0.1513132,95.787264
1978-Dec-30 00:00,08 15 43.18,-04 46 26.5,124.2137,0.6487,4.869901344521,11.0161645,4.86990134452112,11.0161645,13.7273659,13.7273651,0.0000,/*,0.0016,49.183884,0.1391370,95.660213
1979-Jan-29 00:00,08 22 07.32,-04 55 50.3,125.8162,0.6245,5.058153475919,10.7416981,5.05815347591948,10.7416981,13.2911583,13.2911575,0.0000,/*,0.0015,50.184720,0.1280223,95.565073
1979-Feb-28 00:00,08 27 56.53,-05 04 21.2,127.2725,0.5992,5.245890507288,11.5404923,5.24589050728757,11.5404923,13.5143678,13.5143669,0.0000,/*,0.0013,50.185362,0.1109015,95.816726
1979-Mar-30 00:00,08 43 34.95,-05 12 56.2,131.1668,0.7504,5.370691478550,5.4755986,5.37069147855007,5.4755986,23.6870740,23.6870738,0.0000,/*,0.0044,50.185641,0.3549825,91.745718
1979-Apr-29 00:00,09 00 18.14,-05 19 46.1,135.3276,0.9204,5.474709913258,6.5317486,5.47470991325761,6.5317486,23.3866772,23.3866771,0.0000,/*,0.0043,50.185490,0.3393303,91.382258
1979-May-29 00:00,09 16 17.08,-05 24 45.7,139.3039,1.0775,5.596640716022,7.5329044,5.59664071602211,7.5329044,23.1642351,23.1642352,0.0000,/*,0.0042,50.184960,0.3237953,91.012825
1979-Jun-28 00:00,09 31 30.82,-05 28 04.3,143.0924,1.2222,5.735333032836,8.4642471,5.73533303283635,8.4642471,22.9636056,22.9636057,0.0000,/*,0.0041,50.184190,0.3079102,90.654110
1979-Jul-28 00:00,09 45 58.31,-05 29 53.3,146.6890,1.3545,5.889495529305,9.3182802,5.88949552930451,9.3182802,22.7661983,22.7661983,0.0000,/*,0.0040,50.183375,0.2917749,90.310066
1979-Aug-27 00:00,09 59 39.12,-05 30 24.7,150.0923,1.4747,6.057778543435,10.0945073,6.05777854343515,10.0945073,22.5682167,22.5682167,0.0000,/*,0.0039,50.182718,0.2756523,89.982996
1979-Sep-26 00:00,10 12 33.61,-05 29 50.1,153.3038,1.5833,6.238852209851,10.7953946,6.23885220985112,10.7953946,22.3695816,22.3695815,0.0000,/*,0.0037,50.182387,0.2597954,89.674205
1979-Oct-26 00:00,10 24 42.82,-05 28 20.6,156.3280,1.6810,6.431445654538,11.4251179,6.43144565453812,11.4251179,22.1713901,22.1713901,0.0000,/*,0.0036,50.182475,0.2444097,89.384241
1979-Nov-25 00:00,10 36 08.32,-05 26 06.3,159.1715,1.7686,6.634368509635,11.9886923,6.63436850963457,11.9886923,21.9749853,21.9749854,0.0000,/*,0.0035,50.182969,0.2296471,89.113119
1979-Dec-25 00:00,10 46 52.05,-05 23 16.3,161.8423,1.8468,6.846521071290,12.4915176,6.84652107129023,12.4915176,21.7815447,21.7815448,0.0000,/*,0.0034,50.183744,0.2156086,88.860436
1980-Jan-24 00:00,10 56 56.19,-05 19 58.3,164.3496,1.9167,7.066899246254,12.9391660,7.06689924625396,12.9391660,21.5920980,21.5920980,0.0000,/*,0.0033,51.184592,0.2023532,88.625482
1980-Feb-23 00:00,11 06 23.07,-05 16 19.0,166.7027,1.9788,7.294594099618,13.3370487,7.29459409961838,13.3370487,21.4074487,21.4074486,0.0000,/*,0.0032,51.185283,0.1899067,88.407380
1980-Mar-24 00:00,11 15 15.01,-05 12 24.0,168.9116,2.0341,7.528788454477,13.6903196,7.52878845447689,13.6903196,21.2281422,21.2281418,0.0000,/*,0.0031,51.185632,0.1782692,88.205128
1980-Apr-23 00:00,11 23 34.36,-05 08 18.0,170.9856,2.0833,7.768752662133,14.0039166,7.76875266213259,14.0039166,21.0546711,21.0546705,0.0000,/*,0.0030,51.185553,0.1674228,88.017655
1980-May-23 00:00,11 31 23.37,-05 04 04.8,172.9341,2.1270,8.013839449074,14.2824047,8.01383944907381,14.2824047,20.8874611,20.8874604,0.0000,/*,0.0029,51.185075,0.1573381,87.843909
1980-Jun-22 00:00,11 38 44.20,-04 59 47.5,174.7661,2.1659,8.263477491378,14.5300159,8.26347749137757,14.5300159,20.7268692,20.7268685,0.0000,/*,0.0028,51.184326,0.1479775,87.682844
1980-Jul-22 00:00,11 45 38.90,-04 55 28.6,176.4899,2.2004,8.517167779915,14.7508881,8.51716777991454,14.7508881,20.5734584,20.5734579,0.0000,/*,0.0027,51.183497,0.1392997,87.533449
1980-Aug-21 00:00,11 52 09.38,-04 51 10.1,178.1135,2.2311,8.774484101715,14.9494212,8.77448410171517,14.9494212,20.4283264,20.4283260,0.0000,/*,0.0027,51.182797,0.1312627,87.394781
1980-Sep-20 00:00,11 58 17.45,-04 46 53.6,179.6444,2.2584,9.035090596310,15.1323336,9.03509059631000,15.1323336,20.2948645,20.2948641,0.0000,/*,0.0026,51.182402,0.1238278,87.265867
1980-Oct-20 00:00,12 04 04.84,-04 42 40.1,181.0895,2.2827,9.298871754339,15.3254337,9.29887175433862,15.3254337,20.1939963,20.1939958,0.0000,/*,0.0025,51.182420,0.1169914,87.144991
1980-Nov-19 00:00,12 09 52.85,-04 22 47.2,182.5470,2.5633,9.544884227003,7.7332495,9.54488422700298,7.7332495,21.7872213,21.7872212,0.0000,/*,0.0039,51.182856,0.1765393,51.967473
1980-Dec-19 00:00,12 16 26.31,-03 06 22.6,184.2331,3.7732,9.682144903871,8.1698191,9.68214490387135,8.1698191,21.4970868,21.4970865,0.0000,/*,0.0038,51.183601,0.1698971,52.109887
